0,0,0,0,0,0
10,8,6,9,15,4
33,27,21,57,52,13
80,64,51,96,122,32
156,125,100,135,237,65
270,216,172,179,406,112
428,343,274,236,637,178
640,512,409,314,942,276
911,729,583,419,1326,393
1250,1000,800,560,1800,540
1663,1331,1064,742,2369,745
2160,1728,1382,973,3041,967
2746,2197,1757,1261,3822,1230
3430,2744,2195,1612,4719,1591
4218,3375,2700,2035,5737,1957
5120,4096,3276,2535,6881,2457
6141,4913,3930,3120,8155,3046
7290,5832,4665,3798,9564,3732
8573,6859,5487,4575,11111,4526
10000,8000,6400,5460,12800,5440
11576,9261,7408,6458,14632,6482
13310,10648,8518,7577,16610,7666
15208,12167,9733,8825,18737,9003
17280,13824,11059,10208,21012,10506
19531,15625,12500,11735,23437,12187
21970,17576,14060,13411,26012,14060
24603,19683,15746,15244,28737,16140
27440,21952,17561,17242,31610,18439
30486,24389,19511,19411,34632,20974
33750,27000,21600,21760,37800,23760
37238,29791,23832,24294,41111,26811
40960,32768,26214,27021,44564,30146
44921,35937,28749,29949,48155,33780
49130,39304,31443,33084,51881,37731
53593,42875,34300,36435,55737,42017
58320,46656,37324,40007,59719,46656
63316,50653,40522,43808,63822,50653
68590,54872,43897,47846,68041,55969
74148,59319,47455,52127,72369,60505
80000,64000,51200,56660,76800,66560
86151,68921,55136,61450,81326,71677
92610,74088,59270,66505,85942,78533
99383,79507,63605,71833,90637,84277
106480,85184,68147,77440,95406,91998
113906,91125,72900,83335,100237,98415
121670,97336,77868,89523,105122,107069
129778,103823,83058,96012,110052,114205
138240,110592,88473,102810,115015,123863
147061,117649,94119,109923,120001,131766
156250,125000,100000,117360,125000,142500
165813,132651,106120,125126,131324,151222
175760,140608,112486,133229,137795,163105
186096,148877,119101,141677,144410,172697
196830,157464,125971,150476,151165,185807
207968,166375,133100,159635,158056,196322
219520,175616,140492,169159,165079,210739
231491,185193,148154,179056,172229,222231
243890,195112,156089,189334,179503,238036
256723,205379,164303,199999,186894,250562
270000,216000,172800,211060,194400,267840
283726,226981,181584,222522,202013,281456
297910,238328,190662,234393,209728,300293
312558,250047,200037,246681,217540,315059
327680,262144,209715,259392,225443,335544
343281,274625,219700,272535,233431,351520
359370,287496,229996,286115,241496,373744
375953,300763,240610,300140,249633,390991
393040,314432,251545,314618,257834,415050
410636,328509,262807,329555,267406,433631
428750,343000,274400,344960,276458,459620
447388,357911,286328,360838,286328,479600
466560,373248,298598,377197,296358,507617
486271,389017,311213,394045,305767,529063
506530,405224,324179,411388,316074,559209
527343,421875,337500,429235,326531,582187
548720,438976,351180,447591,336255,614566
570666,456533,365226,466464,346965,639146
593190,474552,379641,485862,357812,673863
616298,493039,394431,505791,367807,700115
640000,512000,409600,526260,378880,737280
664301,531441,425152,547274,390077,765275
689210,551368,441094,568841,400293,804997
714733,571787,457429,590969,411686,834809
740880,592704,474163,613664,423190,877201
767656,614125,491300,636935,433572,908905
795070,636056,508844,660787,445239,954084
823128,658503,526802,685228,457001,987754
851840,681472,545177,710266,467489,1035837
881211,704969,563975,735907,479378,1071552
911250,729000,583200,762160,491346,1122660
941963,753571,602856,789030,501878,1160499
973360,778688,622950,816525,513934,1214753
1005446,804357,643485,844653,526049,1254796
1038230,830584,664467,873420,536557,1312322
1071718,857375,685900,902835,548720,1354652
1105920,884736,707788,932903,560922,1415577
1140841,912673,730138,963632,571333,1460276
1176490,941192,752953,995030,583539,1524731
1212873,970299,776239,1027103,591882,1571884
1250000,1000000,800000,1059860,600000,1640000
